ee_number,job_title,current_employment_status,project_code,original_hire_date,last_hire_date,los_in_days,termination_date,reason_code,left,fired,flsa_binary,Days_Since_Promotion,Days_Since_Demotion,Days_Since_Rehire,Days_Since_TransferIn,Days_Since_TransferOut,Days_Since_NewHire
307420,Operator Renewables,A,55091,04/18/2023,04/18/2023,681,Unknown,Unknown,0,0,1,NoEvent,NoEvent,NoEvent,462,NoEvent,623
307420,Operator Renewables,A,55091,04/18/2023,04/18/2023,681,Unknown,Unknown,0,0,1,NoEvent,NoEvent,NoEvent,265,NoEvent,623
307426,Laborer Renewables,T,55305,04/18/2023,04/18/2023,109,08/05/23,Other Job,1,0,0,NoEvent,NoEvent,NoEvent,561,NoEvent,623
307431,WH/Yard Laborer,T,55099,04/18/2023,03/05/24,233,10/24/2024,Personal/Family,1,0,1,477,NoEvent,301,145,NoEvent,623
307439,Laborer Renewables,T,55085,04/18/2023,04/18/2023,157,09/22/2023,Lack of Work,0,0,1,NoEvent,NoEvent,NoEvent,NoEvent,NoEvent,623
307467,Laborer Renewables,T,55310,04/18/2023,04/18/2023,184,10/19/2023,Lack of Work,0,0,1,NoEvent,NoEvent,NoEvent,561,NoEvent,623
307467,Laborer Renewables,T,55310,04/18/2023,04/18/2023,184,10/19/2023,Lack of Work,0,0,1,NoEvent,NoEvent,NoEvent,512,NoEvent,623
307476,Foreman Renewables,A,55138,04/19/2023,02/20/2024,373,Unknown,Unknown,0,0,1,253,NoEvent,315,512,NoEvent,622
307476,Foreman Renewables,A,55138,04/19/2023,02/20/2024,373,Unknown,Unknown,0,0,1,253,NoEvent,315,209,NoEvent,622
307476,Foreman Renewables,A,55138,04/19/2023,02/20/2024,373,Unknown,Unknown,0,0,1,253,NoEvent,315,169,NoEvent,622
307476,Foreman Renewables,A,55138,04/19/2023,02/20/2024,373,Unknown,Unknown,0,0,1,253,NoEvent,315,-57,NoEvent,622
310399,Laborer Renewables,A,55123,07/06/23,02/20/2024,373,Unknown,Unknown,0,0,1,302,NoEvent,315,474,NoEvent,544
310399,Laborer Renewables,A,55123,07/06/23,02/20/2024,373,Unknown,Unknown,0,0,1,302,NoEvent,315,153,NoEvent,544
310399,Laborer Renewables,A,55123,07/06/23,02/20/2024,373,Unknown,Unknown,0,0,1,302,NoEvent,315,118,NoEvent,544
310399,Laborer Renewables,A,55123,07/06/23,02/20/2024,373,Unknown,Unknown,0,0,1,302,NoEvent,315,-28,NoEvent,544
310404,Helper Renewables,T,55303,06/26/2023,06/26/2023,112,10/16/2023,Policy Viol-Safety,0,1,0,NoEvent,NoEvent,NoEvent,519,NoEvent,554
310404,Helper Renewables,T,55303,06/26/2023,06/26/2023,112,10/16/2023,Policy Viol-Safety,0,1,0,NoEvent,NoEvent,NoEvent,512,NoEvent,554
310407,Helper Renewables,T,55307,06/26/2023,06/26/2023,49,08/14/2023,Resignation,1,0,1,NoEvent,NoEvent,NoEvent,519,NoEvent,554
310407,Helper Renewables,T,55307,06/26/2023,06/26/2023,49,08/14/2023,Resignation,1,0,1,NoEvent,NoEvent,NoEvent,512,NoEvent,554
310424,Laborer Renewables,T,55090,06/29/2023,06/29/2023,55,08/23/2023,Resignation,1,0,1,NoEvent,NoEvent,NoEvent,NoEvent,NoEvent,551
310444,Laborer Renewables,T,55076,07/06/23,07/06/23,39,08/14/2023,Resignation,1,0,1,NoEvent,NoEvent,NoEvent,NoEvent,NoEvent,544
310445,Helper Renewables,T,55307,06/26/2023,06/26/2023,49,08/14/2023,Resignation,1,0,1,NoEvent,NoEvent,NoEvent,519,NoEvent,554
310445,Helper Renewables,T,55307,06/26/2023,06/26/2023,49,08/14/2023,Resignation,1,0,1,NoEvent,NoEvent,NoEvent,512,NoEvent,554
310458,Intern,T,55304,07/10/23,07/10/23,39,08/18/2023,Return to School,1,0,1,NoEvent,NoEvent,NoEvent,526,NoEvent,540
