EE #,FLSA Category,PR Dept,HireDate,Reason,Craft Class Code,Project Code
322576,Non-Exempt,4104,06/11/2024,New hire,18-197-400,55105.0
295586,Non-Exempt,4104,05/03/2022,New hire,18-8-1006,55094.0
324476,Non-Exempt,4104,07/18/2024,New hire,18-196-501,55723.0
311220,Non-Exempt,4104,07/20/2023,New hire,18-40-1001,55093.0
323864,Non-Exempt,4104,07/01/2024,New hire,18-47-101,55138.0
301462,Non-Exempt,4104,10/18/2022,New hire,18-41-1003,55085.0
329681,Non-Exempt,4104,11/11/2024,New hire,18-74-102,55138.0
291170,Non-Exempt,4104,10/26/2021,New hire,18-40-1002,55079.0
322614,Non-Exempt,4104,06/11/2024,New hire,18-47-101,55109.0
304172,Non-Exempt,4104,01/11/2023,New hire,18-30-1002,55087.0
303194,Non-Exempt,4104,12/06/2022,New hire,18-30-1002,55085.0
316959,Non-Exempt,4104,01/16/2024,New hire,18-40-1002,55089.0
320213,Non-Exempt,4104,04/23/2024,New hire,18-41-1003,55094.0
320382,Non-Exempt,4104,04/19/2024,New hire,18-708-500,55301.0
317816,Non-Exempt,4104,02/14/2024,New hire,18-41-1003,55094.0
323849,Non-Exempt,4104,07/01/2024,New hire,18-40-1001,55100.0
318732,Non-Exempt,4104,03/13/2024,New hire,18-30-1002,55313.0
320394,Non-Exempt,4104,05/20/2024,New hire,18-6-6520,55097.0
314524,Non-Exempt,4104,09/27/2023,New hire,18-752-500,55302.0
329365,Non-Exempt,4104,11/06/2024,New hire,18-47-101,55143.0
322642,Non-Exempt,4104,06/06/2024,New hire,18-8-1004,55097.0
322643,Non-Exempt,4104,06/06/2024,New hire,18-41-1002,55097.0
318877,Non-Exempt,4104,03/26/2024,New hire,18-41-1002,55723.0
306895,Non-Exempt,4104,04/05/2023,New hire,18-40-1001,55089.0
302404,Non-Exempt,4104,11/08/2022,New hire,18-40-1002,55086.0
321163,Non-Exempt,4104,05/29/2024,New hire,18-5-5050,55100.0
319198,Non-Exempt,4104,03/19/2024,New hire,18-41-1003,55094.0
302583,Non-Exempt,4104,11/14/2022,New hire,18-40-1002,55086.0
308508,Non-Exempt,4104,05/11/2023,New hire,18-40-1002,55090.0
308402,Non-Exempt,4104,05/11/2023,New hire,18-40-1002,55090.0
317414,Non-Exempt,4104,01/31/2024,New hire,18-197-400,55105.0
312799,Non-Exempt,4104,08/22/2023,New hire,18-41-1002,55094.0
322933,Non-Exempt,4104,06/12/2024,New hire,18-41-1003,55094.0
318507,Non-Exempt,4104,03/05/2024,New hire,18-40-1002,55089.0
309634,Non-Exempt,4104,06/06/2023,New hire,18-197-400,55105.0
316088,Non-Exempt,4104,11/28/2023,New hire,18-40-1001,55089.0
311423,Non-Exempt,4104,08/02/2023,New hire,18-40-1002,55075.0
306930,Non-Exempt,4104,04/06/2023,New hire,18-41-1001,55093.0
312580,Non-Exempt,4104,05/07/2024,New hire,18-30-1002,55094.0
299226,Non-Exempt,4104,08/01/2022,New hire,18-40-1001,55076.0
295848,Non-Exempt,4104,05/11/2022,New hire,18-40-1002,55076.0
320942,Non-Exempt,4104,05/07/2024,New hire,18-47-101,55113.0
324594,Non-Exempt,4104,07/23/2024,New hire,18-199-501,55117.0
308118,Exempt,4104,06/05/2023,New hire,18-4-S429,55133.0
318491,Non-Exempt,4104,03/12/2024,New hire,18-8-1004,55097.0
320641,Non-Exempt,4104,04/30/2024,New hire,18-41-1003,55094.0
323594,Non-Exempt,4104,06/26/2024,New hire,18-199-501,55117.0
303766,Non-Exempt,4104,12/28/2022,New hire,18-41-1002,55087.0
291312,Non-Exempt,4104,11/03/2021,New hire,18-41-1002,55076.0
303768,Non-Exempt,4104,12/28/2022,New hire,18-64-1002,55087.0
304447,Non-Exempt,4104,01/19/2023,New hire,18-30-1002,55087.0
309622,Exempt,4104,06/19/2023,New hire,18-2-S231,55109.0
319534,Non-Exempt,4104,03/27/2024,New hire,18-708-501,55301.0
307145,Non-Exempt,4104,04/11/2023,New hire,18-41-1001,55093.0
331971,Non-Exempt,4104,02/10/2025,New hire,18-30-1002,55091.0
329569,Non-Exempt,4104,11/11/2024,New hire,18-30-1003,55091.0
315733,Non-Exempt,4104,11/07/2023,New hire,18-40-1001,55094.0
321343,Non-Exempt,4104,05/21/2024,New hire,18-198-400,55107.0
303666,Non-Exempt,4104,12/19/2022,New hire,18-40-1002,55076.0
307836,Non-Exempt,4104,04/27/2023,New hire,18-40-1001,55091.0
317885,Non-Exempt,4104,02/20/2024,New hire,18-40-1002,55089.0
328782,Non-Exempt,4104,10/16/2024,New hire,18-41-1003,55311.0
291845,Non-Exempt,4104,12/07/2021,New hire,18-30-1003,55079.0
